option randseed 1534381610678952;
option randseed 1534381610678952;
jobs, 40
depots, 2
techs, 20
skill domains, 2
skill levels, 2
weeks, 2
tech hours, 1600
runs, 1000
problem testing: var_leave, var_arrive, var_start, var_twotech,
  var_night_away, var_hours_tech, var_tech_pair, var_late, objective,
  c_tech_min, c_tech_max, c_tech_inout, c_return_home, c_arcs, c_twotech,
  c_pair_balance, c_pair_sym, c_pair_ub, c_tw_arrive, c_tw_leave,
  c_start_time, c_finish_time;
Count	Result	Gurobi	CPLEX	Objective
1	limit	1119.327836	0.0	limit	846.497312	0.0
2	infeas	6.485014	0.0	infeas	4.596302	0.0
3	infeas	7.072924	0.0	infeas	5.033235	0.0
4	infeas	5.946096	0.0	infeas	4.211360	0.0
5	infeas	7.757821	0.0	infeas	5.583151	0.0
6	infeas	6.409026	0.0	infeas	4.744278	0.0
7	infeas	6.662987	0.0	infeas	4.780274	0.0
8	infeas	6.631992	0.0	infeas	4.680287	0.0
9	infeas	8.075773	0.0	infeas	5.737128	0.0
10	infeas	6.783969	0.0	infeas	4.968244	0.0
11	infeas	7.061926	0.0	infeas	5.114223	0.0
12	infeas	6.111071	0.0	infeas	4.492317	0.0
13	infeas	6.288045	0.0	infeas	4.533310	0.0
14	infeas	7.968789	0.0	infeas	5.643142	0.0
15	infeas	6.093073	0.0	infeas	4.364338	0.0
16	infeas	6.704980	0.0	infeas	4.863260	0.0
17	infeas	5.112224	0.0	infeas	3.699437	0.0
18	infeas	6.939945	0.0	infeas	4.938249	0.0
19	infeas	7.816812	0.0	infeas	5.641142	0.0
20	infeas	6.191059	0.0	infeas	4.402331	0.0
21	infeas	6.127068	0.0	infeas	4.527313	0.0
22	infeas	6.768970	0.0	infeas	5.016238	0.0
23	infeas	7.518856	0.0	infeas	5.369184	0.0
24	infeas	7.406875	0.0	infeas	5.257200	0.0
25	infeas	6.000088	0.0	infeas	4.259352	0.0
26	infeas	7.191907	0.0	infeas	5.059231	0.0
27	infeas	6.681984	0.0	infeas	4.726281	0.0
28	infeas	7.474864	0.0	infeas	5.341189	0.0
29	infeas	8.158759	0.0	infeas	5.714131	0.0
30	infeas	6.324039	0.0	infeas	4.624296	0.0
31	infeas	5.303195	0.0	infeas	3.774426	0.0
32	infeas	7.053927	0.0	infeas	5.154217	0.0
33	infeas	6.024084	0.0	infeas	4.466321	0.0
34	infeas	9.127613	0.0	infeas	6.461017	0.0
35	infeas	5.858110	0.0	infeas	4.214359	0.0
36	infeas	6.514010	0.0	infeas	4.659292	0.0
37	infeas	6.948943	0.0	infeas	5.135219	0.0
38	infeas	6.679985	0.0	infeas	4.773274	0.0
39	infeas	6.546005	0.0	infeas	4.669290	0.0
40	infeas	7.367880	0.0	infeas	5.409178	0.0
41	infeas	6.574001	0.0	infeas	4.741278	0.0
42	infeas	5.698135	0.0	infeas	4.035386	0.0
43	infeas	5.727130	0.0	infeas	4.229356	0.0
44	infeas	7.030931	0.0	infeas	5.052232	0.0
45	infeas	6.454020	0.0	infeas	4.524311	0.0
46	infeas	8.252746	0.0	infeas	5.977091	0.0
47	infeas	5.607148	0.0	infeas	4.031387	0.0
48	infeas	4.999240	0.0	infeas	3.737432	0.0
49	infeas	6.790968	0.0	infeas	4.854261	0.0
50	infeas	6.855958	0.0	infeas	4.855262	0.0
51	infeas	7.460866	0.0	infeas	5.155216	0.0
52	infeas	5.945097	0.0	infeas	4.269350	0.0
53	infeas	6.258049	0.0	infeas	4.500316	0.0
54	infeas	7.638839	0.0	infeas	5.364184	0.0
55	infeas	5.262200	0.0	infeas	3.808421	0.0
56	infeas	7.997784	0.0	infeas	5.944097	0.0
57	infeas	6.649988	0.0	infeas	4.710285	0.0
58	infeas	5.415177	0.0	infeas	3.847414	0.0
59	infeas	6.392029	0.0	infeas	4.539310	0.0
60	infeas	6.960941	0.0	infeas	5.031235	0.0
61	infeas	7.462866	0.0	infeas	5.335189	0.0
62	infeas	7.090922	0.0	infeas	5.087226	0.0
63	infeas	6.804966	0.0	infeas	4.952247	0.0
64	infeas	6.611995	0.0	infeas	4.616298	0.0
65	infeas	6.530007	0.0	infeas	4.753278	0.0
66	infeas	4.583303	0.0	infeas	3.287500	0.0
67	infeas	6.275046	0.0	infeas	4.509315	0.0
68	infeas	7.456866	0.0	infeas	5.347187	0.0
69	infeas	6.041082	0.0	infeas	4.318343	0.0
70	infeas	7.080924	0.0	infeas	5.074229	0.0
71	infeas	6.609994	0.0	infeas	4.828267	0.0
72	infeas	4.928250	0.0	infeas	3.573457	0.0
73	infeas	6.890952	0.0	infeas	5.030236	0.0
74	infeas	5.699134	0.0	infeas	4.053383	0.0
